5zzw,2.60,2018,5.51,3.1e-06,5zzw.pdf,(SAH)
1ssq,1.85,2004,6.0,1e-06,1ssq.pdf,(CYS)
1n3w,2.60,2003,6.96,1.1e-07,1n3w.pdf,(MAL)
5y8y,1.87,2018,7.09,8.2e-08,5y8c.pdf,(8PX)
5cc2,2.50,2015,4.1,8e-05,5cc2.pdf,(CKA)
1u33,1.95,2004,4.6,2.5e-05,1u33.pdf,(LM2)
4ahv,1.80,2012,1.82,0.015,3vq4.pdf,(Z5P)
4eky,2.45,2012,3.52,0.000303,4ej2.pdf,(D1J)
3ewj,1.8,2008,6.84,1.43e-07,3ewj.pdf,(642)
1v7a,2.5,2004,8.01,9.8e-09,1v7a.pdf,(FRC)
6ipm,1.72,2019,3.69,0.000206,6aec.pdf,(DCP)
2j4k,2.20,2007,4.85,1.4e-05,2j4k.pdf,(U5P)
5lt9,3.00,2017,4.19,6.4e-05,5lt9.pdf,(ARG)
1u1b,2.00,2005,7.8,1.6e-08,1u1b.pdf,(PAX)
5aoi,1.78,2015,3.03,0.00094,5ab9.pdf,(RZH)
4fcm,2.69,2013,3.94,0.000115,4fcm.pdf,(9-mer)
5ioz,2.02,2017,4.96,1.1e-05,5ioy.pdf,(6C4)
6qlp,1.08,2019,5.28,5.2e-06,6qln.pdf,(J3Q)
5v5o,2.24,2018,4.14,7.240000000000001e-05,5v5o.pdf,(19-mer)
4gg7,2.27,2012,8.2,6.3e-09,4gg5.pdf,(0J8)
3vd7,2.87,2012,4.48,3.3e-05,3vd4.pdf,(GTZ)
2ci9,1.50,2006,7.22,6e-08,2ci9.pdf,(12-mer)
1srg,1.8,1994,5.3,5e-06,1srg.pdf,(MHB)
4cwq,2.0,2014,7.06,8.8e-08,4cwf.pdf,(W2D)
5cyi,2.00,2015,5.88,1.31e-06,5cyi.pdf,(55S)
5hrw,1.80,2016,5.48,3.3e-06,5hrv.pdf,(64E)
6egw,1.74,2018,5.57,2.67e-06,6egw.pdf,(18-mer)
4m1j,1.80,2013,9.7,2e-10,4m1j.pdf,(B0S)
4w52,1.5,2015,3.76,0.000175,4w52.pdf,(BNZ)
4r59,1.65,2014,7.96,1.1e-08,4r59.pdf,(3J3)
3f70,2.1,2009,4.85,1.4e-05,3f70.pdf,(MLZ)
1p10,2.25,1990,6.7,2e-07,1p10.pdf,(5-mer)
1k1j,2.20,2001,7.55,2.8e-08,1k1j.pdf,(FD2)
4wks,1.63,2014,2.7,0.002,4wks.pdf,(3QD)
4r0i,1.90,2015,6.52,3e-07,4r0i.pdf,(3KM)
2y4l,2.80,2011,6.3,5e-07,2y4j.pdf,(GDP)
3cso,2.71,2009,5.77,1.7e-06,3cso.pdf,(XNI)
1utm,1.50,2004,3.01,0.000972,1utm.pdf,(PEA)
4cix,2.90,2014,4.47,3.4e-05,4civ.pdf,(W4N)
1ydr,2.20,1997,5.52,3e-06,1ydr.pdf,(IQP)
5iub,2.10,2016,9.46,3.5e-10,5iu4.pdf,(6DV)
6hol,1.40,2019,5.72,1.9e-06,6hoi.pdf,(15-mer)
6gbw,1.45,2019,8.45,3.5099999999999997e-09,5jfd.pdf,(EU5)
5f2p,1.80,2016,4.43,3.75e-05,5eu1.pdf,(5TY)
6i68,1.85,2019,4.89,1.3e-05,6i41.pdf,(9-mer)
3l2y,2.70,2010,4.49,3.207e-05,3kqr.pdf,(OPE)
5cgj,3.36,2015,5.22,6e-06,5cgj.pdf,(51M)
4wvl,2.41,2014,6.88,1.31e-07,4wvl.pdf,(3US)
4o6w,1.45,2014,8.52,3e-09,4o6w.pdf,(7-mer)
5v1y,1.42,2017,8.15,7.1e-09,5v1y.pdf,(16-mer)
1j4r,1.8,2001,7.72,1.9e-08,1j4r.pdf,(001)
