1ssq,1.85,2004,6.0,1e-06,1ssq.pdf,(CYS)
1u33,1.95,2004,4.6,2.5e-05,1u33.pdf,(LM2)
6ipm,1.72,2019,3.69,0.000206,6aec.pdf,(DCP)
2j4k,2.20,2007,4.85,1.4e-05,2j4k.pdf,(U5P)
3vd7,2.87,2012,4.48,3.3e-05,3vd4.pdf,(GTZ)
1k1j,2.20,2001,7.55,2.8e-08,1k1j.pdf,(FD2)
2y4l,2.80,2011,6.3,5e-07,2y4j.pdf,(GDP)
1utm,1.50,2004,3.01,0.000972,1utm.pdf,(PEA)
3l2y,2.70,2010,4.49,3.207e-05,3kqr.pdf,(OPE)
5obr,2.62,2017,5.36,4.4e-06,5obj.pdf,(9QT)
2bq7,2.20,2006,7.05,8.9e-08,2bq7.pdf,(IID)
4hso,2.10,2013,4.66,2.2e-05,4hsn.pdf,(TYR)
6rhe,3.10,2019,4.13,7.4e-05,6rhe.pdf,(6-mer)
6hq7,2.46,2019,6.11,7.69e-07,6hq3.pdf,(PCG)
4wz6,2.05,2015,5.6,2.5e-06,4wz6.pdf,(ATP)
1gz3,2.30,2003,3.7,0.0002,1gz3.pdf,(ATP)
1rql,2.40,2004,2.75,0.00179,1rql.pdf,(VSO)
2jdu,1.5,2007,6.72,1.9e-07,2jdu.pdf,(MFU)
4jne,1.96,2013,5.86,1.38e-06,4jn4.pdf,(ATP)
6ipk,2.15,2019,5.17,6.7e-06,6aec.pdf,(8DG)
2am4,1.7,2006,3.72,0.00019,2am4.pdf,(U2F)
5nkk,2.64,2017,5.0,1e-05,5nkk.pdf,(GDP)
1caq,1.80,1999,7.72,1.9e-08,1caq.pdf,(DPS)
5u51,2.80,2017,4.92,1.2e-05,5u51.pdf,(G4P)
6p84,1.7,2019,4.81,1.56e-05,6p83.pdf,(O3V)
1f0t,1.8,2000,6.0,1e-06,1f0t.pdf,(PR1)
1tnl,1.90,1994,1.88,0.0133,1tnl.pdf,(TPA)
1w2k,3.00,2005,6.46,3.5e-07,1w2k.pdf,(380)
2j7h,1.95,2006,7.19,6.5e-08,2j7h.pdf,(AZF)
2hf8,2.10,2006,5.47,3.4e-06,2hf8.pdf,(GSP)
1ew9,2.00,2002,3.22,0.0006,1ew9.pdf,(MMQ)
4omd,2.70,2014,9.01,9.77e-10,4omc.pdf,(5-mer)
4lhv,1.95,2013,10.0,1e-10,4lhv.pdf,(GDP)
4z2b,1.8,2015,7.76,1.75e-08,4z2b.pdf,(4LC)
5xs8,1.95,2018,5.41,3.86e-06,5xs8.pdf,(2-mer)
2vmd,1.9,2008,3.02,0.00095,2vmc.pdf,(MBG)
3lpl,2.1,2010,5.62,2.39e-06,3lpl.pdf,(TDP)
1o5g,1.75,2004,4.96,1.1e-05,1o5g.pdf,(CR9)
5ost,2.1,2018,4.56,2.73e-05,5oss.pdf,(AEZ)
4ipi,1.75,2013,5.32,4.8e-06,4ipi.pdf,(LMR)
1f2o,1.70,2001,1.91,0.0124,1f2o.pdf,(LEU)
3elm,1.90,2009,9.72,1.9e-10,3elm.pdf,(24F)
4rab,2.26,2015,7.4,4e-08,4rab.pdf,(3L3)
2xj7,2.0,2010,6.66,2.2e-07,2xj7.pdf,(GC2)
1h5v,1.1,2002,3.93,0.000117,1h5v.pdf,(5-mer)
6b2q,2.88,2018,8.05,9e-09,6b2p.pdf,(CJJ)
1gi1,1.42,2002,5.47,3.4e-06,1gi1.pdf,(BMZ)
5k0h,2.2,2016,7.09,8.1e-08,5k0h.pdf,(6PK)
1e37,1.75,2000,3.7,0.0002,1e37.pdf,(TPY)
1ajq,2.05,1997,4.31,4.9000000000000005e-05,1ajq.pdf,(SPA)
6eq8,2.19,2018,8.0,1e-08,6epy.pdf,(BQZ)
4fl2,2.19,2012,3.66,0.00022,4fl1.pdf,(ANP)
4r5x,1.85,2014,5.26,5.5e-06,4r5t.pdf,(R5X)
4a51,2.75,2012,6.73,1.858e-07,4a50.pdf,(DQ8)
4bbh,1.63,2012,7.1,8e-08,4bbh.pdf,(YBN)
1mmp,2.30,1996,6.07,8.5e-07,1mmp.pdf,(RSS)
1bjr,2.44,1998,7.68,2.1e-08,1bjr.pdf,(10-mer)
5dk4,1.90,2015,8.7,2e-09,5dk4.pdf,(5BX)
3exf,3.00,2008,6.54,2.9e-07,3exe.pdf,(TPP)
1g2l,1.90,2001,7.24,5.7e-08,1g2l.pdf,(T87)
1yid,2.40,2005,5.0,1e-05,1yid.pdf,(ATP)
6m9f,1.30,2018,8.22,6e-09,1kdz.pdf,(4-mer)
3ljg,1.31,2010,7.73,1.86e-08,3lik.pdf,(EEF)
5os4,1.88,2017,2.78,0.001665,5orl.pdf,(A8H)
4k5p,1.85,2013,3.46,0.000345,4k3n.pdf,(1OS)
6fa3,1.82,2018,7.42,3.8e-08,5ocg.pdf,(D1Z)
